tag;_id;ano_inicio_programa;bow;cd_area_avaliacao;cd_conceito_programa;cd_programa_ies;nm_area_avaliacao;nm_entidade_ensino;nm_municipio_programa_ies;nm_programa_ies;nm_regiao;pubs;sg_entidade_ensino;sg_uf_programa;tfidf
53001010044p0;53001010044p0;1996.0;"environmental; area; management; policy; social; research; system; analysis; change; development; food; conservation; process; sustainable; use; brazil; climate; local; production; impact; different; urban; sustainability; land; waste; case; community; public; factor; forest";49;7;53001010044p0;ciências ambientais;universidade de brasília;brasília;desenvolvimento sustentável;centro-oeste;137.0;unb;df;"mosaic; chelonian; ge; ecovillage; ngos; environmentalization; tree; food system; desertification; creative economy; passenger; aluminum; green space; tourism; slow; pacification; social participation; disaster; grant program; biodiesel; df; innovation; energy resource; creative; conflict; land; medellín; recife; concession; carbon footprint"
42046017004p3;42046017004p3;2011.0;"seed; material; process; test; property; temperature; analysis; model; film; work; drying; thermal; ceramic; strength; mechanical; water; method; coating; adsorption; treatment; condition; value; rice; time; fiber; resistance; use; husk; flow; sample";13;3;42046017004p3;engenharias iii;fundação universidade federal do pampa;alegrete;engenharia;sul;62.0;unipampa;rs;"meander; seed; sludge; hydrocyclone; starch; welding; buoyancy; inhibitor; fire; schiff; schiff base; urea; fiber; cryogenic; film; ceramic plate; adsorbent; gravity wave; tower; amoxicillin; crack; xerogel; wind farm; rice; carrageenan; size effect; rfa; mortar; sca; turbulence"
33063010002p3;33063010002p3;1993.0;"group; implant; bone; patient; treatment; test; level; analysis; difference; day; month; mm; dental; clinical; control; therapy; type; expression; time; significant; gene; factor; year; value; different; region; p<005; resveratrol; mean; abutment";18;4;33063010002p3;odontologia;universidade paulista;são paulo;odontologia;sudeste;74.0;unip;sp;"impression; orbital; dm; anb; load; nag; spring; resveratrol; cs; microstrain; narrow; sealant; sleep; facial type; pdt; prosthetic abutment; satisfaction; bruxism; rme; archwire; implant; fluoride; facial; bms; gps; sander; abutment; dpi; wire; nanosphere"
32005016106p9;32005016106p9;2017.0;"system; structural; wireless; bridge; structural health; shm; structure; health; implementation; monitoring; identification; implementation cost; cost; wired; datum; commercial; structural health monitoring; other; health monitoring; civil; computer; shaker; board; sensor; dynamics; cycle analysis; former; crack; integrity; life cycle";10;3;32005016106p9;engenharias i;universidade federal de juiz de fora;juiz de fora;engenharia civil;sudeste;1.0;ufjf;mg;"shm; structural health; wireless; wired; bridge; structural; implementation cost; structural health monitoring; health monitoring; datas; health; practical importance; great practical; switzerland; low-cost; raspberry pi; sensing system; niterói; raspberry; shaker; wireless system; structural problem; life cycle analysis; excessive vibration; cycle analysis; france; commercial; several research; monitoring; identification"
41002016163p9;41002016163p9;2016.0;;30;4;41002016163p9;planejamento urbano e regional / demografia;universidade do estado de santa catarina;florianópolis;planejamento territorial e desenvolvimento sócio-ambiental;sul;0.0;udesc;sc;
41015010003p2;41015010003p2;2005.0;"animal; group; level; activity; effect; day; rat; oxidative; damage; kg; stress; treatment; administration; cortex; hippocampus; brain; model; oxidative stress; control; patient; protein; increase; ketamine; test; disease; parameter; inflammatory; mouse; acid; memory";15;6;41015010003p2;medicina i;universidade do extremo sul catarinense;criciúma;ciências da saúde;sul;235.0;unesc;sc;"venom; carnosine; delirium; fructose; melatonin; trpa1; gnp; tyrosine; minocycline; caffeine; galactose; meningitis; hpv; zymosan; cel; mma; lithium; kic; resveratrol; rage; alloxan; vap; overuse; ketamine; melanoma; avocado; pnd; taurine; acerola; sepsis"
33117012001p7;33117012001p7;2003.0;"group; implant; bone; mm; level; test; subject; clinical; periodontitis; difference; treatment; value; dental; control; month; p<005; bond; strength; periodontal; day; resin; surface; bond strength; therapy; site; biofilm; tissue; chronic; specie; aim";18;6;33117012001p7;odontologia;universidade universus veritas guarulhos;guarulhos;odontologia;sudeste;115.0;univeritas ung;sp;"km; archaea; hyperglycemic; blossom; caffeine; osteopenia; centrifuge; cp; dm; ene; chp; cri; arthroscopy; silane; agp; adhesive layer; gcf; hf; graft; mpo; biofilm; sla; abutment; metformin; diabetic; polymorphism; tapper; ocp; ahr; diabetic subject"
32004010030p0;32004010030p0;2014.0;"family; research; production; farmer; school; minas; social; work; food; sustainability; gerais; rural; minas gerais; process; analysis; activity; pnae; development; region; agriculture; extension; environmental; management; other; use; public; objective; municipality; brazil; agricultural";45;3;32004010030p0;interdisciplinar;universidade federal de lavras;lavras;desenvolvimento sustentável e extensão;sudeste;39.0;ufla;mg;"ufla; mac; magazine; experimental field; food; apa; pnae; fashion; sustainability; transgenic; coffee; urban agriculture; seed; transgenic maize; extension; agroecology; cooperativism; forest; strawberry; sewage treatment; sanitary; exhaustion; forest management; environmental management; yard; maize; biological control; lettuce; sewage; rural"
30001013013p0;30001013013p0;1999.0;"work; literature; literary; research; other; text; novel; analysis; author; reading; narrative; book; writing; character; brazilian; way; identity; century; concept; representation; cultural; contemporary; order; history; language; genre; translation; poetry; time; aspect";41;5;30001013013p0;linguística e literatura;universidade federal do espírito santo;vitória;letras;sudeste;170.0;ufes;es;"wall; graffiti; frida; satire; detective; jealousy; tragedy; videogame; intuition; displacement; football; journalism; creative writing; literary education; medieval; translation; pardo; seneca; utopia; roa; estórias; rap; sant'anna; leminski; lavoura; americans; bia; verisimilitude; signifier; cultural object"
53001010089p4;53001010089p4;2011.0;"development; public; policy; cooperation; analysis; education; research; international; process; brazil; school; country; health; social; brazilian; program; actor; action; system; model; state; public policy; work; national; project; federal; theory; context; management; instrument";45;3;53001010089p4;interdisciplinar;universidade de brasília;brasília;desenvolvimento, sociedade e cooperação internacional;centro-oeste;92.0;unb;df;"kalunga; luanda; cooperation; oda; ssc; st&i; mozambique; call; older person; physical education; china; minimum wage; mercosur; wage; international cooperation; immigration; prison; deconcentration; innovation; angola; df; water; immigrant; vulnerability; iirsa; pdp; enem; school infrastructure; industrial policy; school"
